Year,Region,Index,Source,Category,Sub-category,Sub-sub-category,Total,CO2eq,Unit
1990,Alberta,29,Heavy Industry,Iron and Steel,,,FALSE,0.10,Mt
1990,Alberta,30,Heavy Industry,Cement,,,FALSE,1.18,Mt
1990,Alberta,31,Heavy Industry,Lime and Gypsum,,,FALSE,0.19,Mt
1990,Alberta,32,Heavy Industry,Chemicals and Fertilizers,,,FALSE,9.94,Mt
1990,Alberta,33,Buildings,,,,TRUE,12.03,Mt
1990,Alberta,34,Buildings,Service Industry,,,FALSE,5.29,Mt
1990,Alberta,35,Buildings,Residential,,,FALSE,6.74,Mt
1990,Alberta,36,Agriculture,,,,TRUE,14.95,Mt
1990,Alberta,37,Agriculture,On Farm Fuel Use,,,FALSE,2.91,Mt
1990,Alberta,38,Agriculture,Crop Production,,,FALSE,2.44,Mt
1990,Alberta,39,Agriculture,Animal Production,,,FALSE,9.60,Mt
1990,Alberta,40,Waste,,,,TRUE,2.40,Mt
1990,Alberta,41,Waste,Solid Waste,,,FALSE,2.15,Mt
1990,Alberta,42,Waste,Wastewater,,,FALSE,0.24,Mt
1990,Alberta,43,Waste,Waste Incineration,,,FALSE,0.01,Mt
1990,Alberta,44,Coal Production,,,,FALSE,0.60,Mt
1990,Alberta,45,"Light Manufacturing, Construction and Forest Resources",,,,TRUE,5.58,Mt
1990,Alberta,46,"Light Manufacturing, Construction and Forest Resources",Light Manufacturing,,,FALSE,4.76,Mt
1990,Alberta,47,"Light Manufacturing, Construction and Forest Resources",Construction,,,FALSE,0.72,Mt
1990,Alberta,48,"Light Manufacturing, Construction and Forest Resources",Forest Resources,,,FALSE,0.10,Mt
1990,British Columbia,0,Provincial Inventory Total,,,,TRUE,51.67,Mt
1990,British Columbia,1,Oil and Gas,,,,TRUE,7.87,Mt
1990,British Columbia,2,Oil and Gas,Upstream Oil and Gas,,,TRUE,6.41,Mt
1990,British Columbia,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,FALSE,4.25,Mt
1990,British Columbia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,TRUE,0.69,Mt
1990,British Columbia,5,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Light Oil Production,FALSE,0.69,Mt
1990,British Columbia,12,Oil and Gas,Upstream Oil and Gas,"Oil, Natural Gas and CO2  Transmission",,FALSE,1.47,Mt
1990,British Columbia,13,Oil and Gas,Downstream Oil and Gas,,,TRUE,1.46,Mt
1990,British Columbia,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,FALSE,1.31,Mt
1990,British Columbia,15,Oil and Gas,Downstream Oil and Gas,Natural Gas Distribution,,FALSE,0.15,Mt
1990,British Columbia,16,Electricity,,,,FALSE,0.86,Mt
1990,British Columbia,17,Transport,,,,TRUE,15.82,Mt
1990,British Columbia,18,Transport,Passenger Transport,,,TRUE,7.89,Mt
1990,British Columbia,19,Transport,Passenger Transport,"Cars, Light Trucks and Motorcycles",,FALSE,6.67,Mt
1990,British Columbia,20,Transport,Passenger Transport,"Bus, Rail and Aviation",,FALSE,1.22,Mt
1990,British Columbia,21,Transport,Freight Transport,,,TRUE,5.61,Mt
1990,British Columbia,22,Transport,Freight Transport,"Heavy Duty Trucks, Rail",,FALSE,4.75,Mt
1990,British Columbia,23,Transport,Freight Transport,Aviation and Marine,,FALSE,0.86,Mt
1990,British Columbia,24,Transport,"Other: Recreational, Commercial and Residential",,,FALSE,2.32,Mt
1990,British Columbia,25,Heavy Industry,,,,TRUE,8.72,Mt
1990,British Columbia,26,Heavy Industry,Mining,,,FALSE,0.47,Mt
1990,British Columbia,27,Heavy Industry,Smelting and Refining (Non-Ferrous Metals),,,FALSE,2.01,Mt
1990,British Columbia,28,Heavy Industry,Pulp and Paper,,,FALSE,4.04,Mt
1990,British Columbia,29,Heavy Industry,Iron and Steel,,,FALSE,0.03,Mt
1990,British Columbia,30,Heavy Industry,Cement,,,FALSE,1.03,Mt
1990,British Columbia,31,Heavy Industry,Lime and Gypsum,,,FALSE,0.25,Mt
1990,British Columbia,32,Heavy Industry,Chemicals and Fertilizers,,,FALSE,0.90,Mt
1990,British Columbia,33,Buildings,,,,TRUE,7.53,Mt
1990,British Columbia,34,Buildings,Service Industry,,,FALSE,3.06,Mt
1990,British Columbia,35,Buildings,Residential,,,FALSE,4.47,Mt
1990,British Columbia,36,Agriculture,,,,TRUE,2.48,Mt
1990,British Columbia,37,Agriculture,On Farm Fuel Use,,,FALSE,0.57,Mt
1990,British Columbia,38,Agriculture,Crop Production,,,FALSE,0.16,Mt
1990,British Columbia,39,Agriculture,Animal Production,,,FALSE,1.75,Mt
1990,British Columbia,40,Waste,,,,TRUE,4.08,Mt
1990,British Columbia,41,Waste,Solid Waste,,,FALSE,3.91,Mt
1990,British Columbia,42,Waste,Wastewater,,,FALSE,0.17,Mt
1990,British Columbia,43,Waste,Waste Incineration,,,FALSE,0.00,Mt
1990,British Columbia,44,Coal Production,,,,FALSE,1.75,Mt
1990,British Columbia,45,"Light Manufacturing, Construction and Forest Resources",,,,TRUE,2.56,Mt
1990,British Columbia,46,"Light Manufacturing, Construction and Forest Resources",Light Manufacturing,,,FALSE,1.44,Mt
1990,British Columbia,47,"Light Manufacturing, Construction and Forest Resources",Construction,,,FALSE,0.62,Mt
1990,British Columbia,48,"Light Manufacturing, Construction and Forest Resources",Forest Resources,,,FALSE,0.50,Mt
1990,Canada,0,National Inventory Total,,,,TRUE,594.72,Mt
1990,Canada,1,Oil and Gas,,,,TRUE,102.65,Mt
1990,Canada,2,Oil and Gas,Upstream Oil and Gas,,,TRUE,82.76,Mt
1990,Canada,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,FALSE,31.21,Mt
1990,Canada,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,TRUE,24.36,Mt
1990,Canada,5,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Light Oil Production,FALSE,14.98,Mt
1990,Canada,6,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Heavy Oil Production,FALSE,9.12,Mt
1990,Canada,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,FALSE,0.26,Mt
1990,Canada,8,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",,TRUE,15.08,Mt
1990,Canada,9,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",Mining and Extraction,FALSE,2.17,Mt
1990,Canada,10,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",In-situ,FALSE,4.53,Mt
1990,Canada,11,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",Upgrading,FALSE,8.38,Mt
1990,Canada,12,Oil and Gas,Upstream Oil and Gas,"Oil, Natural Gas and CO2  Transmission",,FALSE,12.12,Mt
1990,Canada,13,Oil and Gas,Downstream Oil and Gas,,,TRUE,19.89,Mt
1990,Canada,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,FALSE,18.29,Mt
1990,Canada,15,Oil and Gas,Downstream Oil and Gas,Natural Gas Distribution,,FALSE,1.60,Mt
1990,Canada,16,Electricity,,,,FALSE,94.72,Mt
1990,Canada,17,Transport,,,,TRUE,120.48,Mt
1990,Canada,18,Transport,Passenger Transport,,,TRUE,71.27,Mt
1990,Canada,19,Transport,Passenger Transport,"Cars, Light Trucks and Motorcycles",,FALSE,64.14,Mt
1990,Canada,20,Transport,Passenger Transport,"Bus, Rail and Aviation",,FALSE,7.13,Mt
1990,Canada,21,Transport,Freight Transport,,,TRUE,30.72,Mt
1990,Canada,22,Transport,Freight Transport,"Heavy Duty Trucks, Rail",,FALSE,26.09,Mt
1990,Canada,23,Transport,Freight Transport,Aviation and Marine,,FALSE,4.64,Mt
1990,Canada,24,Transport,"Other: Recreational, Commercial and Residential",,,FALSE,18.49,Mt
1990,Canada,25,Heavy Industry,,,,TRUE,97.22,Mt
1990,Canada,26,Heavy Industry,Mining,,,FALSE,6.69,Mt
1990,Canada,27,Heavy Industry,Smelting and Refining (Non-Ferrous Metals),,,FALSE,17.24,Mt
1990,Canada,28,Heavy Industry,Pulp and Paper,,,FALSE,15.03,Mt
1990,Canada,29,Heavy Industry,Iron and Steel,,,FALSE,16.44,Mt
1990,Canada,30,Heavy Industry,Cement,,,FALSE,9.99,Mt
1990,Canada,31,Heavy Industry,Lime and Gypsum,,,FALSE,2.93,Mt
1990,Canada,32,Heavy Industry,Chemicals and Fertilizers,,,FALSE,28.89,Mt
1990,Canada,33,Buildings,,,,TRUE,71.25,Mt
1990,Canada,34,Buildings,Service Industry,,,FALSE,27.48,Mt
1990,Canada,35,Buildings,Residential,,,FALSE,43.76,Mt
1990,Canada,36,Agriculture,,,,TRUE,51.73,Mt
1990,Canada,37,Agriculture,On Farm Fuel Use,,,FALSE,10.54,Mt
1990,Canada,38,Agriculture,Crop Production,,,FALSE,10.43,Mt
1990,Canada,39,Agriculture,Animal Production,,,FALSE,30.76,Mt
1990,Canada,40,Waste,,,,TRUE,24.42,Mt
1990,Canada,41,Waste,Solid Waste,,,FALSE,22.53,Mt
1990,Canada,42,Waste,Wastewater,,,FALSE,1.61,Mt
1990,Canada,43,Waste,Waste Incineration,,,FALSE,0.27,Mt
1990,Canada,44,Coal Production,,,,FALSE,4.03,Mt
1990,Canada,45,"Light Manufacturing, Construction and Forest Resources",,,,TRUE,28.24,Mt
1990,Canada,46,"Light Manufacturing, Construction and Forest Resources",Light Manufacturing,,,FALSE,21.20,Mt
1990,Canada,47,"Light Manufacturing, Construction and Forest Resources",Construction,,,FALSE,6.00,Mt
1990,Canada,48,"Light Manufacturing, Construction and Forest Resources",Forest Resources,,,FALSE,1.04,Mt
1990,Manitoba,0,Provincial Inventory Total,,,,TRUE,18.27,Mt
1990,Manitoba,1,Oil and Gas,,,,TRUE,1.54,Mt
1990,Manitoba,2,Oil and Gas,Upstream Oil and Gas,,,TRUE,1.49,Mt
1990,Manitoba,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,FALSE,0.01,Mt
1990,Manitoba,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,TRUE,0.32,Mt
1990,Manitoba,5,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Light Oil Production,FALSE,0.32,Mt
1990,Manitoba,12,Oil and Gas,Upstream Oil and Gas,"Oil, Natural Gas and CO2  Transmission",,FALSE,1.16,Mt
1990,Manitoba,13,Oil and Gas,Downstream Oil and Gas,,,TRUE,0.05,Mt
1990,Manitoba,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,FALSE,0.00,Mt
1990,Manitoba,15,Oil and Gas,Downstream Oil and Gas,Natural Gas Distribution,,FALSE,0.05,Mt
1990,Manitoba,16,Electricity,,,,FALSE,0.52,Mt
1990,Manitoba,17,Transport,,,,TRUE,5.01,Mt
1990,Manitoba,18,Transport,Passenger Transport,,,TRUE,2.94,Mt
1990,Manitoba,19,Transport,Passenger Transport,"Cars, Light Trucks and Motorcycles",,FALSE,2.51,Mt
1990,Manitoba,20,Transport,Passenger Transport,"Bus, Rail and Aviation",,FALSE,0.43,Mt
1990,Manitoba,21,Transport,Freight Transport,,,TRUE,1.42,Mt
1990,Manitoba,22,Transport,Freight Transport,"Heavy Duty Trucks, Rail",,FALSE,1.32,Mt
1990,Manitoba,23,Transport,Freight Transport,Aviation and Marine,,FALSE,0.10,Mt
1990,Manitoba,24,Transport,"Other: Recreational, Commercial and Residential",,,FALSE,0.65,Mt
1990,Manitoba,25,Heavy Industry,,,,TRUE,1.34,Mt
1990,Manitoba,26,Heavy Industry,Mining,,,FALSE,0.11,Mt
1990,Manitoba,27,Heavy Industry,Smelting and Refining (Non-Ferrous Metals),,,FALSE,0.32,Mt
1990,Manitoba,28,Heavy Industry,Pulp and Paper,,,FALSE,0.25,Mt
1990,Manitoba,29,Heavy Industry,Iron and Steel,,,FALSE,0.04,Mt
1990,Manitoba,30,Heavy Industry,Cement,,,FALSE,0.21,Mt
1990,Manitoba,31,Heavy Industry,Lime and Gypsum,,,FALSE,0.10,Mt
1990,Manitoba,32,Heavy Industry,Chemicals and Fertilizers,,,FALSE,0.31,Mt
1990,Manitoba,33,Buildings,,,,TRUE,3.06,Mt
1990,Manitoba,34,Buildings,Service Industry,,,FALSE,1.44,Mt
1990,Manitoba,35,Buildings,Residential,,,FALSE,1.62,Mt
1990,Manitoba,36,Agriculture,,,,TRUE,5.22,Mt
1990,Manitoba,37,Agriculture,On Farm Fuel Use,,,FALSE,1.10,Mt
1990,Manitoba,38,Agriculture,Crop Production,,,FALSE,1.70,Mt
1990,Manitoba,39,Agriculture,Animal Production,,,FALSE,2.41,Mt
1990,Manitoba,40,Waste,,,,TRUE,0.99,Mt
1990,Manitoba,41,Waste,Solid Waste,,,FALSE,0.92,Mt
1990,Manitoba,42,Waste,Wastewater,,,FALSE,0.07,Mt
1990,Manitoba,43,Waste,Waste Incineration,,,FALSE,0.00,Mt
1990,Manitoba,45,"Light Manufacturing, Construction and Forest Resources",,,,TRUE,0.59,Mt
1990,Manitoba,46,"Light Manufacturing, Construction and Forest Resources",Light Manufacturing,,,FALSE,0.41,Mt
1990,Manitoba,47,"Light Manufacturing, Construction and Forest Resources",Construction,,,FALSE,0.18,Mt
1990,Manitoba,48,"Light Manufacturing, Construction and Forest Resources",Forest Resources,,,FALSE,0.01,Mt
1990,New Brunswick,0,Provincial Inventory Total,,,,TRUE,16.22,Mt
1990,New Brunswick,1,Oil and Gas,,,,TRUE,1.22,Mt
1990,New Brunswick,2,Oil and Gas,Upstream Oil and Gas,,,TRUE,0.00,Mt
1990,New Brunswick,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,FALSE,0.00,Mt
1990,New Brunswick,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,TRUE,0.00,Mt
1990,New Brunswick,5,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Light Oil Production,FALSE,0.00,Mt
1990,New Brunswick,13,Oil and Gas,Downstream Oil and Gas,,,TRUE,1.22,Mt
1990,New Brunswick,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,FALSE,1.22,Mt
1990,New Brunswick,16,Electricity,,,,FALSE,6.02,Mt
1990,New Brunswick,17,Transport,,,,TRUE,3.75,Mt
1990,New Brunswick,18,Transport,Passenger Transport,,,TRUE,1.65,Mt
1990,New Brunswick,19,Transport,Passenger Transport,"Cars, Light Trucks and Motorcycles",,FALSE,1.50,Mt
1990,New Brunswick,20,Transport,Passenger Transport,"Bus, Rail and Aviation",,FALSE,0.15,Mt
1990,New Brunswick,21,Transport,Freight Transport,,,TRUE,1.10,Mt
1990,New Brunswick,22,Transport,Freight Transport,"Heavy Duty Trucks, Rail",,FALSE,0.89,Mt
1990,New Brunswick,23,Transport,Freight Transport,Aviation and Marine,,FALSE,0.21,Mt
1990,New Brunswick,24,Transport,"Other: Recreational, Commercial and Residential",,,FALSE,1.01,Mt
1990,New Brunswick,25,Heavy Industry,,,,TRUE,1.78,Mt
1990,New Brunswick,26,Heavy Industry,Mining,,,FALSE,0.20,Mt
1990,New Brunswick,27,Heavy Industry,Smelting and Refining (Non-Ferrous Metals),,,FALSE,0.09,Mt
1990,New Brunswick,28,Heavy Industry,Pulp and Paper,,,FALSE,1.33,Mt
1990,New Brunswick,29,Heavy Industry,Iron and Steel,,,FALSE,0.00,Mt
1990,New Brunswick,30,Heavy Industry,Cement,,,FALSE,0.00,Mt
1990,New Brunswick,31,Heavy Industry,Lime and Gypsum,,,FALSE,0.11,Mt
1990,New Brunswick,32,Heavy Industry,Chemicals and Fertilizers,,,FALSE,0.05,Mt
1990,New Brunswick,33,Buildings,,,,TRUE,1.65,Mt
1990,New Brunswick,34,Buildings,Service Industry,,,FALSE,0.60,Mt
1990,New Brunswick,35,Buildings,Residential,,,FALSE,1.06,Mt
1990,New Brunswick,36,Agriculture,,,,TRUE,0.54,Mt
1990,New Brunswick,37,Agriculture,On Farm Fuel Use,,,FALSE,0.11,Mt
1990,New Brunswick,38,Agriculture,Crop Production,,,FALSE,0.14,Mt
1990,New Brunswick,39,Agriculture,Animal Production,,,FALSE,0.29,Mt
1990,New Brunswick,40,Waste,,,,TRUE,0.83,Mt
1990,New Brunswick,41,Waste,Solid Waste,,,FALSE,0.79,Mt
1990,New Brunswick,42,Waste,Wastewater,,,FALSE,0.05,Mt
1990,New Brunswick,44,Coal Production,,,,FALSE,0.01,Mt
1990,New Brunswick,45,"Light Manufacturing, Construction and Forest Resources",,,,TRUE,0.41,Mt
1990,New Brunswick,46,"Light Manufacturing, Construction and Forest Resources",Light Manufacturing,,,FALSE,0.22,Mt
1990,New Brunswick,47,"Light Manufacturing, Construction and Forest Resources",Construction,,,FALSE,0.12,Mt
1990,New Brunswick,48,"Light Manufacturing, Construction and Forest Resources",Forest Resources,,,FALSE,0.06,Mt
1990,Newfoundland and Labrador,0,Provincial Inventory Total,,,,TRUE,9.59,Mt
1990,Newfoundland and Labrador,1,Oil and Gas,,,,TRUE,1.07,Mt
1990,Newfoundland and Labrador,2,Oil and Gas,Upstream Oil and Gas,,,TRUE,0.00,Mt
1990,Newfoundland and Labrador,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,TRUE,0.00,Mt
1990,Newfoundland and Labrador,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,FALSE,0.00,Mt
1990,Newfoundland and Labrador,13,Oil and Gas,Downstream Oil and Gas,,,TRUE,1.07,Mt
1990,Newfoundland and Labrador,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,FALSE,1.07,Mt
1990,Newfoundland and Labrador,16,Electricity,,,,FALSE,1.64,Mt
1990,Newfoundland and Labrador,17,Transport,,,,TRUE,3.00,Mt
1990,Newfoundland and Labrador,18,Transport,Passenger Transport,,,TRUE,1.35,Mt
1990,Newfoundland and Labrador,19,Transport,Passenger Transport,"Cars, Light Trucks and Motorcycles",,FALSE,1.13,Mt
1990,Newfoundland and Labrador,20,Transport,Passenger Transport,"Bus, Rail and Aviation",,FALSE,0.22,Mt
1990,Newfoundland and Labrador,21,Transport,Freight Transport,,,TRUE,1.29,Mt
1990,Newfoundland and Labrador,22,Transport,Freight Transport,"Heavy Duty Trucks, Rail",,FALSE,0.47,Mt
1990,Newfoundland and Labrador,23,Transport,Freight Transport,Aviation and Marine,,FALSE,0.82,Mt
1990,Newfoundland and Labrador,24,Transport,"Other: Recreational, Commercial and Residential",,,FALSE,0.37,Mt
1990,Newfoundland and Labrador,25,Heavy Industry,,,,TRUE,1.81,Mt
1990,Newfoundland and Labrador,26,Heavy Industry,Mining,,,FALSE,1.27,Mt
1990,Newfoundland and Labrador,27,Heavy Industry,Smelting and Refining (Non-Ferrous Metals),,,FALSE,0.00,Mt
1990,Newfoundland and Labrador,28,Heavy Industry,Pulp and Paper,,,FALSE,0.43,Mt
1990,Newfoundland and Labrador,29,Heavy Industry,Iron and Steel,,,FALSE,0.00,Mt
1990,Newfoundland and Labrador,30,Heavy Industry,Cement,,,FALSE,0.09,Mt
1990,Newfoundland and Labrador,31,Heavy Industry,Lime and Gypsum,,,FALSE,0.00,Mt
1990,Newfoundland and Labrador,32,Heavy Industry,Chemicals and Fertilizers,,,FALSE,0.01,Mt
1990,Newfoundland and Labrador,33,Buildings,,,,TRUE,1.06,Mt
1990,Newfoundland and Labrador,34,Buildings,Service Industry,,,FALSE,0.33,Mt
1990,Newfoundland and Labrador,35,Buildings,Residential,,,FALSE,0.73,Mt
1990,Newfoundland and Labrador,36,Agriculture,,,,TRUE,0.08,Mt
1990,Newfoundland and Labrador,37,Agriculture,On Farm Fuel Use,,,FALSE,0.03,Mt
1990,Newfoundland and Labrador,38,Agriculture,Crop Production,,,FALSE,0.00,Mt
1990,Newfoundland and Labrador,39,Agriculture,Animal Production,,,FALSE,0.04,Mt
1990,Newfoundland and Labrador,40,Waste,,,,TRUE,0.72,Mt
1990,Newfoundland and Labrador,41,Waste,Solid Waste,,,FALSE,0.66,Mt
1990,Newfoundland and Labrador,42,Waste,Wastewater,,,FALSE,0.03,Mt
1990,Newfoundland and Labrador,43,Waste,Waste Incineration,,,FALSE,0.03,Mt
1990,Newfoundland and Labrador,45,"Light Manufacturing, Construction and Forest Resources",,,,TRUE,0.21,Mt
1990,Newfoundland and Labrador,46,"Light Manufacturing, Construction and Forest Resources",Light Manufacturing,,,FALSE,0.06,Mt
1990,Newfoundland and Labrador,47,"Light Manufacturing, Construction and Forest Resources",Construction,,,FALSE,0.13,Mt
1990,Newfoundland and Labrador,48,"Light Manufacturing, Construction and Forest Resources",Forest Resources,,,FALSE,0.02,Mt
1990,Northwest Territories and Nunavut,0,Territorial Inventory Total,,,,TRUE,1.79,Mt
1990,Northwest Territories and Nunavut,1,Oil and Gas,,,,TRUE,0.39,Mt
1990,Northwest Territories and Nunavut,2,Oil and Gas,Upstream Oil and Gas,,,TRUE,0.38,Mt
1990,Northwest Territories and Nunavut,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,FALSE,0.11,Mt
1990,Northwest Territories and Nunavut,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,TRUE,0.26,Mt
1990,Northwest Territories and Nunavut,5,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Light Oil Production,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,FALSE,0.26,Mt
1990,Northwest Territories and Nunavut,12,Oil and Gas,Upstream Oil and Gas,"Oil, Natural Gas and CO2  Transmission",,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,13,Oil and Gas,Downstream Oil and Gas,,,TRUE,0.01,Mt
1990,Northwest Territories and Nunavut,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,FALSE,0.01,Mt
1990,Northwest Territories and Nunavut,16,Electricity,,,,FALSE,0.16,Mt
1990,Northwest Territories and Nunavut,17,Transport,,,,TRUE,0.60,Mt
1990,Northwest Territories and Nunavut,18,Transport,Passenger Transport,,,TRUE,0.29,Mt
1990,Northwest Territories and Nunavut,19,Transport,Passenger Transport,"Cars, Light Trucks and Motorcycles",,FALSE,0.07,Mt
1990,Northwest Territories and Nunavut,20,Transport,Passenger Transport,"Bus, Rail and Aviation",,FALSE,0.22,Mt
1990,Northwest Territories and Nunavut,21,Transport,Freight Transport,,,TRUE,0.25,Mt
1990,Northwest Territories and Nunavut,22,Transport,Freight Transport,"Heavy Duty Trucks, Rail",,FALSE,0.09,Mt
1990,Northwest Territories and Nunavut,23,Transport,Freight Transport,Aviation and Marine,,FALSE,0.17,Mt
1990,Northwest Territories and Nunavut,24,Transport,"Other: Recreational, Commercial and Residential",,,FALSE,0.05,Mt
1990,Northwest Territories and Nunavut,25,Heavy Industry,,,,TRUE,0.13,Mt
1990,Northwest Territories and Nunavut,26,Heavy Industry,Mining,,,FALSE,0.13,Mt
1990,Northwest Territories and Nunavut,27,Heavy Industry,Smelting and Refining (Non-Ferrous Metals),,,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,28,Heavy Industry,Pulp and Paper,,,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,29,Heavy Industry,Iron and Steel,,,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,30,Heavy Industry,Cement,,,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,31,Heavy Industry,Lime and Gypsum,,,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,32,Heavy Industry,Chemicals and Fertilizers,,,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,33,Buildings,,,,TRUE,0.41,Mt
1990,Northwest Territories and Nunavut,34,Buildings,Service Industry,,,FALSE,0.25,Mt
1990,Northwest Territories and Nunavut,35,Buildings,Residential,,,FALSE,0.16,Mt
1990,Northwest Territories and Nunavut,36,Agriculture,,,,TRUE,0.00,Mt
1990,Northwest Territories and Nunavut,37,Agriculture,On Farm Fuel Use,,,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,40,Waste,,,,TRUE,0.04,Mt
1990,Northwest Territories and Nunavut,41,Waste,Solid Waste,,,FALSE,0.04,Mt
1990,Northwest Territories and Nunavut,42,Waste,Wastewater,,,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,43,Waste,Waste Incineration,,,FALSE,0.00,Mt
1990,Northwest Territories and Nunavut,45,"Light Manufacturing, Construction and Forest Resources",,,,TRUE,0.06,Mt
1990,Northwest Territories and Nunavut,46,"Light Manufacturing, Construction and Forest Resources",Light Manufacturing,,,FALSE,0.03,Mt
1990,Northwest Territories and Nunavut,47,"Light Manufacturing, Construction and Forest Resources",Construction,,,FALSE,0.03,Mt
